概率,半径 [mm],直径 [mm],中间 x [体素],中间 y [体素],中间 z [体素],体积 [mm³],体素,表面 [mm²],分类,间隙 [mm],紧密度,球度,位置 x [体素],位置 y [体素],位置 z [体素],投影尺寸 x [mm],投影尺寸 y [mm],投影尺寸 z [mm],主分量分析（PCA）偏差 1 [mm],主分量分析（PCA）偏差 2 [mm],主分量分析（PCA）偏差 3 [mm],PCA 最大偏差比例 [%],PCA 最小偏差比例 [%],最小灰度值,最大灰度值,平均灰度值,灰度值偏差,标签,最小厚度 [mm],最大厚度 [mm],平均厚度 [mm],相对直径,切面 [mm²],最小边距离（内部） [mm],最小边距离（外部） [mm],最大边距离（剪切） [mm],投影区域（yz 平面） [mm²],投影区域（xz 平面） [mm²],投影区域（xy 平面） [mm²],说明,图像,聚焦图像,捕获,公差状态
128.68,1.366,2.732,253,683,420,3.19,1884,16.92,,0.535,0.30,0.62,251,683,423,2.623,2.146,1.312,0.573,0.465,0.284,41.975,20.796,13248,28241,21693,4532,8109,,,,,,,,,2.02,2.43,4.00,,关,关,0,无公差
127.51,4.761,9.523,244,748,98,93.31,55036,212.02,,-6.077,0.21,0.47,241,741,90,8.108,7.035,6.916,1.562,1.368,1.126,32.799,23.641,10182,28251,19733,4838,8963,,,,,,,,,29.39,31.01,33.50,,关,关,0,无公差
127.20,3.693,7.386,1165,450,403,41.28,24351,110.08,,-2.163,0.20,0.52,1163,437,403,5.247,6.200,4.531,1.569,0.944,0.764,42.472,20.688,11612,28251,20070,4506,2953,,,,,,,,,15.75,17.23,19.42,,关,关,0,无公差
125.56,3.451,6.901,468,494,84,19.19,11317,76.83,,-19.098,0.11,0.45,478,486,87,6.200,4.412,3.816,1.510,0.799,0.545,43.772,15.788,13046,28250,22597,4477,3679,,,,,,,,,10.05,13.19,12.92,,关,关,0,无公差
124.74,1.950,3.901,843,1231,81,12.41,7320,41.74,,0.766,0.40,0.62,845,1234,85,3.577,2.504,2.981,0.826,0.694,0.473,42.348,24.237,12570,28251,21614,4462,2140,,,,,,,,,5.52,8.19,7.17,,关,关,0,无公差
124.68,3.289,6.577,355,508,95,25.84,15241,93.55,,-10.911,0.17,0.45,359,507,96,5.247,5.843,5.008,1.080,0.996,0.728,32.848,22.145,12536,28251,22033,4461,3733,,,,,,,,,13.64,14.30,14.15,,关,关,0,无公差
124.19,2.576,5.152,568,1122,421,7.25,4276,34.89,,-0.795,0.10,0.52,574,1128,423,5.247,3.219,1.550,1.091,0.571,0.338,42.361,13.110,12312,28251,22847,4452,10912,,,,,,,,,3.40,5.39,8.23,,关,关,0,无公差
124.14,2.948,5.897,974,1167,114,28.16,16608,77.63,,-0.539,0.26,0.58,966,1166,117,5.485,3.875,3.696,1.041,0.890,0.715,35.320,24.244,13199,28250,21136,4452,11336,,,,,,,,,10.62,13.56,13.89,,关,关,0,无公差
124.14,3.862,7.724,902,1042,405,35.63,21014,122.67,,-2.026,0.15,0.43,896,1041,402,6.916,4.531,4.889,1.356,1.054,0.746,35.113,19.322,13189,28251,22650,4451,6714,,,,,,,,,15.01,20.53,17.80,,关,关,0,无公差
124.09,2.422,4.844,616,1200,418,7.59,4475,34.61,,-0.998,0.13,0.54,606,1203,415,4.531,2.623,2.146,0.889,0.501,0.457,36.718,18.869,12770,28249,22691,4451,1009,,,,,,,,,4.27,5.39,7.56,,关,关,0,无公差
