概率,半径 [mm],直径 [mm],中间 x [体素],中间 y [体素],中间 z [体素],体积 [mm³],体素,表面 [mm²],分类,间隙 [mm],紧密度,球度,位置 x [体素],位置 y [体素],位置 z [体素],投影尺寸 x [mm],投影尺寸 y [mm],投影尺寸 z [mm],主分量分析（PCA）偏差 1 [mm],主分量分析（PCA）偏差 2 [mm],主分量分析（PCA）偏差 3 [mm],PCA 最大偏差比例 [%],PCA 最小偏差比例 [%],最小灰度值,最大灰度值,平均灰度值,灰度值偏差,标签,最小厚度 [mm],最大厚度 [mm],平均厚度 [mm],相对直径,切面 [mm²],最小边距离（内部） [mm],最小边距离（外部） [mm],最大边距离（剪切） [mm],投影区域（yz 平面） [mm²],投影区域（xz 平面） [mm²],投影区域（xy 平面） [mm²],说明,图像,聚焦图像,捕获,公差状态
5.30,0.327,0.653,376,332,198,0.08,50,1.45,,2.088,0.58,0.64,376,332,198,0.477,0.596,0.596,0.137,0.127,0.113,41.955,34.566,24983,28207,27109,920,1888,,,,,,,,,0.27,0.23,0.23,,关,关,0,无公差
5.30,0.527,1.054,506,1094,190,0.26,153,2.99,,2.180,0.42,0.66,506,1095,191,0.715,0.954,0.715,0.225,0.181,0.145,42.635,27.549,24701,28232,26659,920,9324,,,,,,,,,0.59,0.41,0.51,,关,关,0,无公差
5.30,0.326,0.651,1146,546,62,0.06,35,1.17,,2.571,0.41,0.63,1146,546,62,0.715,0.596,0.358,0.138,0.132,0.082,42.503,25.156,25226,28236,26990,920,4831,,,,,,,,,0.16,0.18,0.31,,关,关,0,无公差
5.30,0.531,1.062,1128,660,395,0.27,157,3.16,,0.833,0.42,0.63,1127,661,395,0.954,0.715,0.835,0.213,0.194,0.155,40.043,29.185,24546,28217,27062,919,7959,,,,,,,,,0.51,0.58,0.48,,关,关,0,无公差
5.29,0.489,0.977,462,1037,129,0.22,130,2.76,,-1.205,0.45,0.64,462,1038,128,0.954,0.715,0.715,0.213,0.170,0.139,43.511,28.460,24460,28249,26797,919,6101,,,,,,,,,0.43,0.51,0.50,,关,关,0,无公差
5.29,0.363,0.726,982,670,99,0.11,65,1.73,,-0.260,0.55,0.64,982,670,99,0.715,0.596,0.715,0.146,0.139,0.125,40.174,34.389,25080,28242,27011,919,7680,,,,,,,,,0.28,0.33,0.36,,关,关,0,无公差
5.29,0.804,1.609,677,676,63,0.26,154,3.50,,-34.593,0.12,0.56,674,676,63,1.669,0.715,0.477,0.357,0.164,0.115,44.362,14.259,24876,28235,27117,919,7509,,,,,,,,,0.28,0.64,0.85,,关,关,0,无公差
5.28,0.393,0.786,816,584,348,0.12,72,1.88,,-14.237,0.48,0.63,816,584,347,0.715,0.596,0.715,0.162,0.153,0.114,41.088,29.021,24859,28161,26765,918,5824,,,,,,,,,0.30,0.37,0.27,,关,关,0,无公差
5.28,0.519,1.038,941,238,414,0.29,173,3.38,,0.110,0.50,0.63,941,238,415,0.954,0.835,0.835,0.205,0.194,0.172,39.484,33.117,24832,28238,27067,918,984,,,,,,,,,0.58,0.58,0.64,,关,关,0,无公差
5.28,0.506,1.012,424,203,345,0.27,157,3.04,,0.036,0.49,0.66,425,203,345,0.954,0.835,0.835,0.216,0.180,0.153,42.760,30.281,24775,28232,26867,918,679,,,,,,,,,0.47,0.57,0.48,,关,关,0,无公差
5.28,0.528,1.055,409,361,264,0.29,172,3.21,,1.681,0.47,0.66,410,360,263,0.954,0.954,0.715,0.235,0.178,0.157,44.537,29.709,24753,28187,26666,918,2361,,,,,,,,,0.54,0.55,0.64,,关,关,0,无公差
5.28,0.421,0.843,1112,592,365,0.15,91,2.16,,0.615,0.49,0.64,1113,592,365,0.715,0.715,0.596,0.177,0.158,0.132,41.935,31.258,24864,28214,27004,918,6462,,,,,,,,,0.37,0.34,0.37,,关,关,0,无公差
5.27,0.426,0.852,1107,563,81,0.15,88,2.16,,2.964,0.46,0.63,1106,563,81,0.715,0.715,0.835,0.184,0.143,0.130,43.103,30.631,24617,28167,26794,917,5593,,,,,,,,,0.40,0.34,0.34,,关,关,0,无公差
5.26,0.374,0.748,610,288,358,0.14,81,1.93,,0.666,0.63,0.67,610,288,358,0.715,0.715,0.596,0.155,0.145,0.138,41.440,36.820,24840,28222,26958,917,1268,,,,,,,,,0.33,0.36,0.37,,关,关,0,无公差
5.26,0.386,0.772,242,1007,401,0.13,75,1.96,,1.336,0.53,0.62,242,1006,400,0.715,0.715,0.715,0.168,0.138,0.127,43.502,32.934,25126,28245,26854,916,6771,,,,,,,,,0.33,0.33,0.33,,关,关,0,无公差
5.26,0.426,0.852,511,338,181,0.16,94,2.19,,-0.887,0.49,0.65,511,338,181,0.954,0.715,0.596,0.172,0.156,0.135,40.297,31.754,25132,28228,26783,916,1883,,,,,,,,,0.33,0.38,0.41,,关,关,0,无公差
5.26,0.473,0.946,193,743,255,0.19,112,2.47,,2.783,0.43,0.65,193,742,255,0.715,0.835,0.835,0.216,0.143,0.140,45.711,29.609,24535,28204,26825,916,9181,,,,,,,,,0.44,0.43,0.50,,关,关,0,无公差
5.26,0.813,1.626,920,393,125,0.40,237,4.81,,0.743,0.18,0.55,923,395,126,1.431,1.431,0.835,0.438,0.156,0.150,53.907,18.467,24425,28240,26958,965,2279,,,,,,,,,0.74,0.80,0.95,,关,关,0,无公差
5.25,0.631,1.263,204,794,64,0.31,184,3.75,,1.387,0.30,0.59,203,794,64,1.192,0.954,0.835,0.250,0.226,0.137,39.596,21.710,24631,28247,27011,916,10246,,,,,,,,,0.53,0.65,0.75,,关,关,0,无公差
5.25,0.703,1.407,916,867,396,0.37,220,4.21,,-4.904,0.26,0.60,916,868,395,0.954,1.192,0.835,0.310,0.191,0.149,44.022,21.255,24921,28246,27004,916,11832,,,,,,,,,0.73,0.65,0.73,,关,关,0,无公差
5.25,0.677,1.354,590,159,182,0.44,261,4.49,,0.592,0.34,0.63,590,158,183,1.192,0.954,0.835,0.287,0.193,0.178,42.364,26.270,24390,28250,26584,916,171,,,,,,,,,0.64,0.78,0.82,,关,关,0,无公差
5.25,0.522,1.044,402,816,227,0.19,112,2.67,,-14.630,0.32,0.60,402,818,226,0.715,0.954,0.596,0.223,0.159,0.134,42.710,25.685,24946,28251,27011,915,11125,,,,,,,,,0.44,0.38,0.48,,关,关,0,无公差
5.25,0.450,0.900,620,1003,228,0.18,105,2.30,,-6.543,0.47,0.66,620,1004,228,0.477,0.835,0.715,0.195,0.170,0.122,43.354,27.113,24452,28245,26815,915,4594,,,,,,,,,0.48,0.31,0.36,,关,关,0,无公差
5.25,0.396,0.793,797,261,192,0.14,85,2.02,,1.943,0.55,0.66,797,261,192,0.715,0.715,0.715,0.172,0.150,0.127,43.408,31.964,24631,28236,26927,915,1156,,,,,,,,,0.38,0.31,0.37,,关,关,0,无公差
5.24,0.526,1.051,1029,756,97,0.22,128,2.84,,1.607,0.36,0.61,1029,756,96,0.954,0.835,0.715,0.231,0.156,0.138,43.953,26.295,24832,28216,26943,915,9757,,,,,,,,,0.43,0.51,0.48,,关,关,0,无公差
5.24,0.645,1.290,697,942,62,0.14,84,2.53,,-13.469,0.13,0.52,696,941,62,1.192,1.073,0.358,0.291,0.189,0.070,45.187,10.817,24350,28249,27128,969,12544,,,,,,,,,0.26,0.27,0.78,,关,关,0,无公差
5.24,0.485,0.971,342,535,360,0.24,144,2.96,,0.670,0.51,0.64,342,535,359,0.954,0.835,0.715,0.204,0.175,0.155,42.063,31.983,24959,28214,26809,914,5209,,,,,,,,,0.45,0.50,0.53,,关,关,0,无公差
5.23,0.469,0.939,445,1162,385,0.22,127,2.62,,0.782,0.50,0.66,445,1162,385,0.954,0.656,0.715,0.206,0.157,0.148,43.976,31.604,24917,28250,26870,914,11864,,,,,,,,,0.37,0.50,0.50,,关,关,0,无公差
5.23,0.934,1.868,1055,922,374,0.64,376,7.42,,-0.327,0.19,0.48,1053,919,376,1.431,1.431,1.431,0.448,0.267,0.170,47.932,18.192,23664,28246,27045,1029,12792,,,,,,,,,1.14,1.15,1.28,,关,关,0,无公差
5.23,0.322,0.645,722,521,93,0.07,43,1.34,,-20.139,0.52,0.63,722,521,93,0.477,0.596,0.596,0.136,0.120,0.105,42.148,32.713,25248,28183,27170,914,4963,,,,,,,,,0.21,0.24,0.21,,关,关,0,无公差
5.23,0.350,0.701,1144,765,193,0.10,58,1.65,,3.135,0.55,0.62,1144,765,193,0.715,0.596,0.596,0.146,0.131,0.120,41.748,34.127,24851,28173,26752,913,9833,,,,,,,,,0.26,0.33,0.33,,关,关,0,无公差
5.23,0.479,0.958,949,1160,385,0.23,133,2.84,,-0.794,0.49,0.63,949,1160,385,0.954,0.835,0.835,0.205,0.178,0.141,42.874,29.339,24787,28220,26736,913,11858,,,,,,,,,0.47,0.55,0.46,,关,关,0,无公差
5.23,0.650,1.300,1276,786,345,0.23,136,3.21,,1.361,0.20,0.57,1277,785,347,0.715,0.954,1.192,0.290,0.152,0.135,44.586,20.846,24755,28251,27146,913,10586,,,,,,,,,0.63,0.54,0.44,,关,关,0,无公差
5.23,0.458,0.916,192,481,178,0.19,110,2.39,,2.970,0.46,0.66,192,480,179,0.715,0.835,0.596,0.203,0.153,0.135,44.359,29.409,24912,28247,26742,913,3814,,,,,,,,,0.44,0.37,0.51,,关,关,0,无公差
5.22,0.723,1.446,243,632,71,0.31,185,4.15,,-1.472,0.20,0.54,245,632,69,1.431,0.835,1.073,0.373,0.165,0.148,51.581,20.496,24367,28250,27091,913,6817,,,,,,,,,0.63,0.81,0.73,,关,关,0,无公差
5.22,0.454,0.908,161,517,140,0.14,85,2.10,,2.637,0.37,0.63,161,517,140,0.715,0.835,0.596,0.188,0.137,0.129,41.307,28.332,24944,28117,26833,913,4381,,,,,,,,,0.36,0.30,0.40,,关,关,0,无公差
5.22,0.548,1.096,414,1022,194,0.27,162,3.24,,0.478,0.40,0.63,416,1023,193,0.954,0.954,0.715,0.230,0.200,0.142,42.008,25.999,24659,28251,27069,913,6247,,,,,,,,,0.57,0.48,0.67,,关,关,0,无公差
5.22,0.441,0.883,492,841,422,0.12,71,1.91,,-10.108,0.33,0.62,492,841,423,0.954,0.715,0.477,0.198,0.151,0.099,44.808,22.350,25218,28217,26897,913,11405,,,,,,,,,0.24,0.28,0.47,,关,关,0,无公差
5.21,0.653,1.306,751,1028,397,0.33,193,3.75,,0.386,0.28,0.61,752,1028,398,1.192,0.835,0.715,0.291,0.177,0.142,44.620,21.814,24764,28225,27052,912,6761,,,,,,,,,0.47,0.63,0.81,,关,关,0,无公差
5.21,0.385,0.770,599,297,203,0.13,78,1.93,,1.002,0.55,0.65,599,297,202,0.715,0.715,0.715,0.157,0.146,0.133,40.758,34.619,25016,28242,26593,912,1521,,,,,,,,,0.33,0.33,0.31,,关,关,0,无公差
5.21,0.667,1.333,382,816,80,0.36,215,4.32,,-14.980,0.29,0.57,382,815,81,0.954,1.073,1.312,0.251,0.219,0.174,37.695,26.108,24898,28240,27130,912,10951,,,,,,,,,0.80,0.85,0.67,,关,关,0,无公差
5.20,0.438,0.876,958,347,242,0.16,95,2.19,,2.145,0.46,0.65,958,346,242,0.715,0.715,0.835,0.177,0.147,0.141,40.328,32.195,25104,28233,26877,911,1917,,,,,,,,,0.38,0.44,0.37,,关,关,0,无公差
5.20,0.395,0.791,1071,417,319,0.13,78,1.91,,1.633,0.51,0.66,1071,416,319,0.715,0.715,0.596,0.174,0.140,0.123,43.880,31.040,24926,28154,26882,911,2821,,,,,,,,,0.31,0.34,0.40,,关,关,0,无公差
5.20,1.396,2.791,1116,717,422,0.97,574,9.47,,-0.894,0.09,0.50,1112,715,422,2.862,1.431,0.954,0.573,0.286,0.167,41.026,11.971,24616,28246,26939,911,8844,,,,,,,,,0.87,1.55,2.27,,关,关,0,无公差
5.20,0.554,1.107,871,426,405,0.24,142,3.04,,0.529,0.34,0.62,871,426,404,0.954,0.715,1.073,0.237,0.168,0.137,42.829,24.818,25090,28249,27069,911,3478,,,,,,,,,0.50,0.64,0.43,,关,关,0,无公差
5.20,0.499,0.998,717,1294,395,0.20,119,2.73,,1.123,0.39,0.61,717,1294,395,0.954,0.715,0.715,0.218,0.147,0.144,43.687,28.867,25119,28228,26924,911,452,,,,,,,,,0.33,0.51,0.53,,关,关,0,无公差
5.20,0.443,0.887,362,740,225,0.20,118,2.50,,-13.469,0.55,0.66,362,740,225,0.715,0.835,0.715,0.184,0.169,0.148,41.461,33.307,25162,28241,26865,911,9166,,,,,,,,,0.41,0.40,0.44,,关,关,0,无公差
5.20,0.404,0.808,479,551,331,0.13,79,1.91,,-11.509,0.48,0.66,479,551,330,0.715,0.596,0.715,0.171,0.146,0.123,42.243,30.476,25167,28185,26684,911,5169,,,,,,,,,0.34,0.41,0.31,,关,关,0,无公差
5.19,0.528,1.056,182,525,95,0.21,121,2.76,,0.174,0.33,0.61,181,524,94,0.954,0.715,0.715,0.237,0.156,0.136,44.932,25.741,24516,28236,26996,911,4966,,,,,,,,,0.40,0.48,0.50,,关,关,0,无公差
5.19,0.350,0.701,1165,784,271,0.09,54,1.56,,0.987,0.51,0.63,1165,784,271,0.715,0.596,0.596,0.147,0.126,0.116,41.826,33.245,24695,28195,26771,910,10536,,,,,,,,,0.30,0.30,0.26,,关,关,0,无公差
5.19,0.854,1.707,451,1092,83,0.54,321,5.57,,0.898,0.21,0.58,454,1095,83,1.669,1.073,0.954,0.380,0.189,0.182,44.516,21.353,24982,28241,26811,910,8890,,,,,,,,,0.69,1.04,1.05,,关,关,0,无公差
5.19,0.506,1.012,482,1170,363,0.26,152,3.16,,3.121,0.48,0.62,482,1170,363,0.954,0.775,0.835,0.213,0.167,0.163,42.133,32.243,24923,28187,26827,910,12800,,,,,,,,,0.46,0.54,0.55,,关,关,0,无公差
5.19,0.442,0.885,442,645,422,0.13,77,2.05,,-7.703,0.36,0.61,442,646,423,0.954,0.715,0.477,0.189,0.154,0.115,42.608,26.057,24669,28210,27140,910,7435,,,,,,,,,0.27,0.31,0.48,,关,关,0,无公差
5.18,0.575,1.150,631,1135,146,0.21,123,2.84,,1.212,0.26,0.60,633,1136,147,0.954,0.715,0.835,0.269,0.137,0.133,46.780,23.217,24294,28221,27005,909,11421,,,,,,,,,0.41,0.54,0.47,,关,关,0,无公差
5.17,0.387,0.773,1069,1021,265,0.12,72,1.82,,1.583,0.50,0.65,1069,1021,265,0.715,0.596,0.715,0.166,0.134,0.126,43.054,32.530,24744,28217,26971,909,6401,,,,,,,,,0.34,0.34,0.27,,关,关,0,无公差
5.17,0.852,1.704,885,696,403,0.62,365,6.28,,-14.284,0.24,0.56,887,695,401,1.669,1.073,1.073,0.338,0.247,0.194,39.669,22.741,24460,28240,26957,978,8689,,,,,,,,,0.91,1.08,1.19,,关,关,0,无公差
5.17,0.361,0.722,1000,419,304,0.09,55,1.54,,2.739,0.47,0.65,1000,419,304,0.715,0.477,0.596,0.164,0.123,0.107,45.574,29.748,25324,28199,26804,909,2814,,,,,,,,,0.24,0.33,0.26,,关,关,0,无公差
5.17,0.509,1.018,482,1017,133,0.23,133,2.82,,-4.360,0.41,0.64,483,1018,134,0.954,0.835,0.835,0.233,0.157,0.140,45.754,27.586,24697,28245,26875,908,6102,,,,,,,,,0.45,0.53,0.51,,关,关,0,无公差
5.16,0.395,0.791,852,411,258,0.13,75,1.96,,1.607,0.49,0.62,852,411,257,0.715,0.596,0.715,0.171,0.135,0.127,43.196,32.177,25063,28241,26681,908,2787,,,,,,,,,0.36,0.40,0.28,,关,关,0,无公差
5.16,0.514,1.028,1119,679,372,0.18,104,2.50,,1.555,0.31,0.61,1118,681,372,0.954,0.715,0.835,0.220,0.153,0.127,42.804,24.658,24663,28197,27087,907,7894,,,,,,,,,0.38,0.50,0.43,,关,关,0,无公差
5.16,0.576,1.152,458,166,108,0.32,188,3.61,,-5.024,0.40,0.62,458,167,108,1.192,0.715,0.954,0.248,0.190,0.155,43.085,26.883,24696,28237,26911,907,338,,,,,,,,,0.53,0.75,0.61,,关,关,0,无公差
5.16,1.021,2.041,808,387,376,0.81,480,8.27,,-0.917,0.18,0.51,806,389,372,1.431,1.431,1.669,0.504,0.262,0.191,49.342,18.752,24660,28250,26954,907,2451,,,,,,,,,1.49,1.45,1.12,,关,关,0,无公差
5.16,0.518,1.036,910,674,68,0.19,115,2.64,,-8.613,0.33,0.61,910,674,68,0.954,0.715,0.835,0.241,0.141,0.130,46.525,25.131,25221,28245,27033,907,7539,,,,,,,,,0.40,0.55,0.44,,关,关,0,无公差
5.15,0.478,0.956,1015,564,380,0.23,136,2.84,,0.181,0.50,0.64,1015,564,379,0.954,0.835,0.715,0.202,0.169,0.154,42.180,32.230,24722,28223,26776,907,5871,,,,,,,,,0.48,0.50,0.51,,关,关,0,无公差
5.15,0.760,1.519,862,557,422,0.34,203,4.12,,-10.096,0.19,0.58,863,556,422,0.954,1.312,0.835,0.272,0.244,0.150,35.855,19.758,24601,28244,27061,907,6035,,,,,,,,,0.65,0.55,0.85,,关,关,0,无公差
5.14,0.460,0.920,918,632,68,0.20,118,2.56,,-6.927,0.49,0.65,918,632,68,0.954,0.596,0.835,0.191,0.164,0.144,41.555,31.196,24996,28245,26949,906,6809,,,,,,,,,0.40,0.55,0.43,,关,关,0,无公差
5.14,0.720,1.441,579,706,402,0.37,219,4.24,,-25.144,0.24,0.59,578,705,400,1.192,0.835,1.073,0.312,0.177,0.166,43.303,23.097,24666,28251,27145,906,8691,,,,,,,,,0.65,0.82,0.74,,关,关,0,无公差
5.13,0.438,0.876,924,177,74,0.16,95,2.19,,0.371,0.46,0.65,924,177,74,0.954,0.596,0.715,0.185,0.149,0.133,42.151,30.310,25292,28148,26974,905,303,,,,,,,,,0.31,0.45,0.37,,关,关,0,无公差
5.13,0.484,0.969,316,1093,410,0.16,97,2.36,,0.538,0.35,0.62,315,1093,409,0.954,0.894,0.715,0.211,0.140,0.127,43.647,26.312,24967,28247,26960,905,9776,,,,,,,,,0.39,0.38,0.45,,关,关,0,无公差
5.13,0.342,0.685,1159,751,223,0.11,63,1.65,,2.139,0.63,0.66,1159,751,223,0.715,0.596,0.596,0.148,0.137,0.121,43.235,35.339,24933,28236,26863,905,9848,,,,,,,,,0.28,0.30,0.30,,关,关,0,无公差
5.13,1.286,2.572,1097,607,402,1.02,604,11.03,,-0.652,0.11,0.45,1094,610,399,2.385,1.192,2.027,0.656,0.248,0.232,51.009,18.016,24287,28249,27111,905,6553,,,,,,,,,1.46,2.13,1.65,,关,关,0,无公差
5.13,0.395,0.790,156,628,95,0.14,80,2.02,,0.972,0.53,0.63,155,628,95,0.715,0.596,0.715,0.169,0.141,0.131,42.794,33.127,25180,28211,27064,905,6906,,,,,,,,,0.31,0.36,0.34,,关,关,0,无公差
5.13,0.518,1.036,530,148,112,0.25,146,3.01,,-0.589,0.42,0.63,530,148,113,0.954,0.835,0.835,0.220,0.176,0.143,42.499,27.612,24875,28246,26856,905,140,,,,,,,,,0.48,0.57,0.55,,关,关,0,无公差
5.13,1.194,2.387,859,733,406,1.05,621,10.61,,-17.694,0.15,0.47,854,735,403,2.385,1.073,1.669,0.592,0.342,0.185,49.610,15.479,23687,28251,27318,905,9379,,,,,,,,,1.25,2.16,1.56,,关,关,0,无公差
5.13,0.465,0.930,252,554,369,0.25,147,2.84,,1.672,0.59,0.67,252,555,368,0.954,0.715,0.715,0.193,0.175,0.164,41.516,35.240,24936,28229,26787,905,5847,,,,,,,,,0.43,0.53,0.51,,关,关,0,无公差
5.13,0.653,1.306,676,547,81,0.38,226,4.15,,-25.518,0.33,0.61,677,546,81,1.192,0.954,0.954,0.276,0.202,0.161,42.233,24.621,24688,28227,27067,905,4911,,,,,,,,,0.65,0.74,0.67,,关,关,0,无公差
5.13,0.599,1.198,1039,1175,212,0.39,229,4.09,,2.126,0.43,0.63,1038,1177,212,0.954,1.014,0.835,0.266,0.193,0.169,44.451,28.237,24327,28210,26788,905,12508,,,,,,,,,0.68,0.65,0.71,,关,关,0,无公差
5.12,0.516,1.033,752,1178,366,0.26,152,3.07,,1.008,0.45,0.64,752,1178,367,0.954,0.715,0.715,0.226,0.165,0.155,43.676,30.008,24812,28233,26925,904,12822,,,,,,,,,0.43,0.55,0.56,,关,关,0,无公差
5.12,0.474,0.948,552,787,114,0.17,102,2.30,,-32.810,0.39,0.65,552,787,116,0.954,0.715,0.596,0.211,0.151,0.125,44.500,26.349,24455,28223,27110,904,10441,,,,,,,,,0.36,0.47,0.43,,关,关,0,无公差
5.12,0.398,0.797,1125,887,343,0.13,75,1.91,,0.617,0.48,0.64,1124,887,343,0.715,0.715,0.596,0.178,0.133,0.126,44.574,31.532,25169,28172,26947,904,12299,,,,,,,,,0.33,0.30,0.33,,关,关,0,无公差
5.12,0.650,1.300,1085,1182,85,0.25,150,3.21,,0.976,0.22,0.60,1083,1183,86,1.192,0.775,0.715,0.289,0.166,0.124,44.519,19.026,24951,28239,26762,904,12236,,,,,,,,,0.45,0.63,0.48,,关,关,0,无公差
5.12,0.646,1.293,303,946,224,0.55,322,5.15,,1.900,0.48,0.63,302,947,227,0.954,1.073,1.192,0.271,0.237,0.195,41.952,30.174,24654,28237,26644,904,2461,,,,,,,,,0.94,0.82,0.81,,关,关,0,无公差
5.11,0.438,0.876,538,797,134,0.16,92,2.22,,-30.775,0.44,0.63,538,797,134,0.715,0.835,0.715,0.179,0.152,0.133,40.840,30.302,24699,28241,26668,903,10453,,,,,,,,,0.41,0.36,0.44,,关,关,0,无公差
5.11,0.326,0.651,654,466,261,0.08,48,1.39,,-12.782,0.56,0.65,654,466,261,0.715,0.477,0.596,0.133,0.124,0.116,40.822,35.680,24897,28230,26953,903,3849,,,,,,,,,0.23,0.30,0.24,,关,关,0,无公差
5.11,0.439,0.878,466,334,265,0.14,83,1.96,,1.862,0.40,0.67,466,335,264,0.477,0.835,0.596,0.190,0.143,0.117,43.209,26.746,25232,28245,26997,903,1932,,,,,,,,,0.38,0.24,0.36,,关,关,0,无公差
5.10,0.446,0.892,690,402,399,0.17,102,2.33,,-0.649,0.47,0.64,689,401,399,0.954,0.596,0.715,0.189,0.170,0.122,42.381,27.360,25056,28247,27092,903,2935,,,,,,,,,0.33,0.53,0.38,,关,关,0,无公差
5.10,0.787,1.574,425,1068,80,0.62,363,5.80,,0.537,0.30,0.60,424,1070,80,1.192,1.312,1.073,0.376,0.228,0.181,47.823,22.932,25041,28215,26881,903,7446,,,,,,,,,0.95,0.87,1.06,,关,关,0,无公差
5.10,0.507,1.015,361,596,420,0.25,148,3.04,,-1.905,0.46,0.63,361,596,420,0.954,0.715,0.835,0.218,0.185,0.139,42.910,27.467,24948,28251,27091,903,6706,,,,,,,,,0.51,0.58,0.53,,关,关,0,无公差
5.10,0.543,1.086,453,710,96,0.17,103,2.53,,-27.044,0.26,0.60,452,710,96,1.192,0.715,0.715,0.219,0.147,0.130,40.300,23.891,24902,28217,27124,902,8374,,,,,,,,,0.34,0.48,0.47,,关,关,0,无公差
5.10,0.578,1.156,496,210,331,0.26,156,3.18,,1.057,0.33,0.63,496,209,331,1.192,0.715,0.715,0.245,0.166,0.147,42.365,25.454,24798,28234,26817,902,672,,,,,,,,,0.41,0.65,0.60,,关,关,0,无公差
5.10,0.404,0.809,548,832,114,0.11,67,1.71,,-27.708,0.41,0.66,547,831,114,0.715,0.477,0.596,0.185,0.133,0.105,45.749,26.032,24603,28187,26921,902,11057,,,,,,,,,0.21,0.34,0.30,,关,关,0,无公差
5.09,0.540,1.080,811,434,161,0.26,154,3.16,,-5.607,0.40,0.63,813,433,162,1.192,0.715,0.835,0.227,0.183,0.143,42.035,26.461,24963,28229,26845,902,3250,,,,,,,,,0.43,0.60,0.60,,关,关,0,无公差
5.09,0.376,0.751,1165,466,398,0.13,78,1.85,,-2.163,0.60,0.68,1165,465,398,0.715,0.715,0.596,0.154,0.141,0.139,41.118,37.020,24935,28245,26958,901,3998,,,,,,,,,0.31,0.34,0.37,,关,关,0,无公差
5.09,0.389,0.778,699,380,183,0.11,67,1.82,,-5.552,0.46,0.62,698,380,183,0.715,0.715,0.715,0.157,0.147,0.115,40.252,29.518,24939,28223,26788,901,2330,,,,,,,,,0.30,0.37,0.31,,关,关,0,无公差
5.08,0.577,1.153,623,680,78,0.25,146,3.13,,-39.794,0.31,0.61,622,681,79,0.954,0.596,0.954,0.244,0.177,0.138,42.257,23.977,24812,28240,27146,901,7604,,,,,,,,,0.44,0.65,0.47,,关,关,0,无公差
5.08,0.460,0.920,335,233,147,0.16,96,2.27,,0.724,0.40,0.63,335,233,147,0.954,0.715,0.596,0.194,0.149,0.131,42.255,28.491,24657,28201,26786,900,827,,,,,,,,,0.36,0.40,0.41,,关,关,0,无公差
5.08,0.612,1.225,786,1310,389,0.24,143,3.10,,0.547,0.25,0.61,786,1311,388,1.192,0.715,0.715,0.270,0.151,0.135,44.070,22.040,24848,28247,26846,900,11314,,,,,,,,,0.36,0.64,0.60,,关,关,0,无公差
5.07,0.382,0.764,508,459,207,0.10,58,1.56,,-13.223,0.42,0.66,507,459,208,0.477,0.596,0.715,0.152,0.138,0.109,39.767,28.433,25032,28196,26854,900,3821,,,,,,,,,0.31,0.24,0.23,,关,关,0,无公差
5.07,0.382,0.764,981,363,190,0.12,70,1.79,,1.492,0.51,0.65,981,363,190,0.715,0.596,0.596,0.163,0.136,0.123,42.546,32.157,25076,28251,27013,899,2336,,,,,,,,,0.27,0.34,0.28,,关,关,0,无公差
5.06,0.492,0.983,320,1176,330,0.19,111,2.45,,0.854,0.38,0.65,320,1176,330,0.954,0.775,0.596,0.214,0.150,0.131,43.610,26.591,24950,28235,26946,899,12635,,,,,,,,,0.38,0.43,0.50,,关,关,0,无公差
5.06,0.398,0.796,280,994,417,0.16,92,2.22,,2.025,0.59,0.63,279,994,417,0.715,0.715,0.715,0.168,0.157,0.135,42.116,33.796,25275,28240,26937,899,5315,,,,,,,,,0.36,0.38,0.37,,关,关,0,无公差
5.06,0.413,0.827,1045,1154,258,0.15,91,2.13,,2.582,0.52,0.65,1045,1154,258,0.715,0.715,0.715,0.175,0.147,0.136,42.244,32.880,24879,28243,26970,898,11533,,,,,,,,,0.39,0.41,0.37,,关,关,0,无公差
5.05,0.419,0.838,498,413,307,0.16,97,2.27,,-3.163,0.53,0.64,497,414,308,0.715,0.715,0.715,0.187,0.152,0.133,44.591,31.660,25068,28237,27053,898,2816,,,,,,,,,0.38,0.37,0.38,,关,关,0,无公差
5.05,0.443,0.886,528,1202,280,0.21,126,2.67,,2.329,0.59,0.65,527,1202,279,0.954,0.715,0.715,0.191,0.174,0.145,43.133,32.668,25025,28213,26770,898,4035,,,,,,,,,0.41,0.51,0.47,,关,关,0,无公差
5.05,0.442,0.884,786,1251,322,0.19,112,2.42,,0.362,0.52,0.66,786,1251,322,0.715,0.715,0.715,0.173,0.172,0.145,39.164,32.771,24925,28232,26929,898,8599,,,,,,,,,0.38,0.43,0.38,,关,关,0,无公差
5.05,0.327,0.655,1125,765,284,0.07,44,1.28,,0.497,0.51,0.67,1124,764,283,0.477,0.477,0.596,0.139,0.118,0.105,42.405,32.028,25144,28230,26770,898,9887,,,,,,,,,0.20,0.23,0.21,,关,关,0,无公差
5.04,0.495,0.990,232,459,296,0.22,127,2.76,,1.495,0.42,0.63,232,459,296,0.715,0.954,0.715,0.217,0.154,0.147,43.762,29.602,24918,28239,26867,897,3867,,,,,,,,,0.45,0.41,0.51,,关,关,0,无公差
5.04,0.384,0.768,697,297,174,0.14,82,1.96,,2.494,0.59,0.66,697,297,174,0.715,0.596,0.715,0.164,0.141,0.135,42.649,35.197,25149,28149,26939,897,1507,,,,,,,,,0.34,0.37,0.37,,关,关,0,无公差
